

Pejabat Penasihat Undang-Undang Negeri Melaka,PERANAKAN,012-234-1222
Pejabat Kewangan Negeri Melaka,ST.PAUL HILL,012-234-1223
Jabatan Mufti Negeri Melaka,PULAU UPEH,012-234-1224
Mahkamah Syariah Melaka,HARI MERDEKA,012-234-1225
Pejabat Tanah dan Galian Negeri Melaka,PERANAKAN,012-234-1226
Jabatan Kerja Raya Negeri Melaka,ST.PAUL HILL,012-234-1227
Pejabat Pembangunan Negeri Melaka,PULAU UPEH,012-234-1228
Pejabat Daerah dan Tanah Melaka Tengah,HARI MERDEKA,012-234-1229
Pejabat Daerah dan Tanah Alor Gajah,PERANAKAN,012-234-1230
Pejabat Daerah dan Tanah Jasin ,ST.PAUL HILL,012-234-1231
Jabatan Pertanian Negeri Melaka,PULAU UPEH,012-234-1232
Jabatan Agama Islam Melaka,HARI MERDEKA,012-234-1233
Jabatan Kebajikan Negeri Melaka,PERANAKAN,012-234-1234
Jabatan Perkhidmatan Veterinar Negeri Melaka,ST.PAUL HILL,012-234-1235
Jabatan Perancang Bandar dan Desa Negeri Melaka,PULAU UPEH,012-234-1236
Jabatan Pengairan dan Saliran Negeri Melaka,HARI MERDEKA,012-234-1237
Pejabat TYT Yang di-Pertua Negeri Melaka,PERANAKAN,012-234-1238
Jabatan Perhutanan Negeri Melaka,ST.PAUL HILL,012-234-1239
