JABATAN KETUA MENTERI MELAKA,PERANAKAN,012-234-1222
PEJABAT PENASIHAT UNDANG-UNDANG NEGERI MELAKA,PERANAKAN,012-234-1221
PEJABAT KEWANGAN DAN PERBENDAHARAAN NEGERI MELAKA,PERANAKAN,012-234-1220
JABATAN AGAMA ISLAM MELAKA,PERANAKAN,012-234-1219
JABATAN KEBAJIKAN MASYARAKAT,PERANAKAN,012-234-1218
JABATAN KERJA RAYA MELAKA,PERANAKAN,012-234-1217
JABATAN KEWANGAN DAN PERBENDAHARAAN NEGERI MELAKA,PERANAKAN,012-234-1216
JABATAN MUFTI NEGERI MELAKA,PERANAKAN,012-234-1215
JABATAN PENGAIRAN DAN SALIRAN MELAKA,PERANAKAN,012-234-1214
JABATAN PERANCANG BANDAR DAN DESA,PERANAKAN,012-234-1213
JABATAN PERKHIDMATAN VETERINAR NEGERI MELAKA,PERANAKAN,012-234-1212
JABATAN PERTANIAN NEGERI MELAKA,PERANAKAN,012-234-1211
MAHKAMAH SYARIAH MELAKA,PERANAKAN,012-234-1210
PEJABAT DAERAH DAN TANAH ALOR GAJAH,ST.PAUL HILL,012-234-1223
PEJABAT DAERAH DAN TANAH JASIN,ST.PAUL HILL,012-234-1222
PEJABAT DAERAH DAN TANAH MELAKA TENGAH,ST.PAUL HILL,012-234-1221
PEJABAT PEMBANGUNAN NEGERI MELAKA,ST.PAUL HILL,012-234-1220
PEJABAT PENGARAH TANAH DAN GALIAN MELAKA,ST.PAUL HILL,012-234-1219
PEJABAT PERHUTANAN NEGERI MELAKA,ST.PAUL HILL,012-234-1218
PEJABAT TYT YANG DI-PERTUA NEGERI MELAKA,ST.PAUL HILL,012-234-1217
AGENSI ANTIDADAH KEBANGSAAN,ST.PAUL HILL,012-234-1216
AKADEMI KASTAM DIRAJA MALAYSIA,ST.PAUL HILL,012-234-1215
AKADEMI PENGANGKUTAN JALAN MALAYSIA,ST.PAUL HILL,012-234-1214
ARKIB NEGARA MALAYSIA,ST.PAUL HILL,012-234-1213
BADAN PENCEGAH RASUAH MELAKA,ST.PAUL HILL,012-234-1212
BIRO BANTUAN GUAMAN NEGERI MELAKA,ST.PAUL HILL,012-234-1211
BIRO PENGADUAN AWAM,ST.PAUL HILL,012-234-1210
BIRO TATANEGARA JABATAN PERDANA MENTERI CAWANGAN NEGERI MELAKA,ST.PAUL HILL,012-234-1209
IBU PEJABAT POLIS KONTINJEN,ST.PAUL HILL,012-234-1208
IKATAN RELAWAN RAKYAT MALAYSIA (RELA),ST.PAUL HILL,012-234-1207
IKATAN RELAWAN RAKYAT MALAYSIA PUSAT LATIHAN RELA WILAYAH SELATAN,ST.PAUL HILL,012-234-1206
JABATAN AKAUNTAN NEGARA MALAYSIA,ST.PAUL HILL,012-234-1205
JABATAN ALAM SEKITAR,PULAU UPEH,012-234-1224
JABATAN AUDIT NEGARA,PULAU UPEH,012-234-1223
JABATAN BELIA DAN SUKAN NEGERI MELAKA,PULAU UPEH,012-234-1222
JABATAN BOMBA DAN PENYELAMAT NEGERI MELAKA,PULAU UPEH,012-234-1221
JABATAN HAL EHWAL KESATUAN SEKERJA MELAKA / NEGERI SEMBILAN,PULAU UPEH,012-234-1220
JABATAN HAL EHWAL KHAS MELAKA,PULAU UPEH,012-234-1219
JABATAN HAL EHWAL ORANG ASLI NEGERI SEMBILAN / MELAKA,PULAU UPEH,012-234-1218
JABATAN IMIGRESEN NEGERI,PULAU UPEH,012-234-1217
JABATAN INSOLVENSI MALAYSIA,PULAU UPEH,012-234-1216
JABATAN KASTAM DIRAJA MALAYSIA,PULAU UPEH,012-234-1215
JABATAN KEBUDAYAAN KESENIAN DAN WARISAN NEGERI MELAKA,PULAU UPEH,012-234-1214
JABATAN KEMAJUAN MASYARAKAT (KEMAS),PULAU UPEH,012-234-1213
JABATAN KESELAMATAN DAN KESIHATAN PEKERJA MELAKA,PULAU UPEH,012-234-1212
JABATAN KESELAMATAN JALAN RAYA MELAKA,PULAU UPEH,012-234-1211
JABATAN KESIHATAN NEGERI MELAKA,PULAU UPEH,012-234-1210
JABATAN KETUA PENGARAH TANAH DAN GALIAN,PULAU UPEH,012-234-1209
JABATAN KIMIA MALAYSIA CAWANGAN MELAKA,PULAU UPEH,012-234-1208
JABATAN LAUT WILAYAH TENGAH,PULAU UPEH,012-234-1207
JABATAN MINERAL DAN GEOSAINS,HARI MERDEKA,012-234-1225
JABATAN MUZIUM MALAYSIA WILAYAH SELATAN,HARI MERDEKA,012-234-1224
JABATAN PELAJARAN MELAKA,HARI MERDEKA,012-234-1223
JABATAN PEMBANGUNAN KOPERASI,HARI MERDEKA,012-234-1222
JABATAN PENDAFTARAN NEGARA NEGERI MELAKA,HARI MERDEKA,012-234-1221
JABATAN PENDAFTARAN PERTUBUHAN,HARI MERDEKA,012-234-1220
JABATAN PENERANGAN NEGERI MELAKA,HARI MERDEKA,012-234-1219
