25,MBC 7447,1,Proton Waja,
32,MBP 111,5,Bas Executive (30 Penumpang),
33,MBC 84,5,Bas (20 Penumpang),
47,MBM 202,1,Toyota Innova,20/01/2011
49,MAH 4477,1,WIRA,31/01/2011
52,MAU 1100,5,BAS ( 40 PENUMPANG ),23/02/2011
54,MBB 7000,2,VAN,25/02/2011
57,MBX 725,2,TOYOTA HIACE,18/03/2011
71,MBC 262,1,PERDANA V6,30/05/2011
72,MBC 434,1,Proton Waja,08/06/2011
80,MBQ 2010,3,HONDA CRV,16/08/2011
81,MAW 200,1,PAJERO,06/09/2011
87,MBM 2299,1,Proton Waja,07/03/2012
88,MBH 454,1,Proton Perdana Exec.,07/03/2012
89,MAW 2,1,Proton Perdana Exec.,07/03/2012
90,MBC 262,1,PERDANA V6,12/06/2012
